match_number,match_date,team_name,team_game_number,player_name,points
34,2026-04-24,Gujarat Titans,7,B Sai Sudharsan,147.0
34,2026-04-24,Gujarat Titans,7,JC Buttler,37.0
34,2026-04-24,Gujarat Titans,7,JO Holder,71.0
34,2026-04-24,Gujarat Titans,7,K Rabada,0.0
34,2026-04-24,Gujarat Titans,7,M Prasidh Krishna,-2.0
34,2026-04-24,Gujarat Titans,7,M Shahrukh Khan,12.0
34,2026-04-24,Gujarat Titans,7,MJ Suthar,37.0
34,2026-04-24,Gujarat Titans,7,Mohammed Siraj,29.0
34,2026-04-24,Gujarat Titans,7,R Tewatia,4.0
34,2026-04-24,Gujarat Titans,7,Rashid Khan,56.0
34,2026-04-24,Gujarat Titans,7,Shubman Gill,46.0
34,2026-04-24,Gujarat Titans,7,Washington Sundar,38.0
34,2026-04-24,Royal Challengers Bengaluru,7,B Kumar,29.0
34,2026-04-24,Royal Challengers Bengaluru,7,D Padikkal,95.0
34,2026-04-24,Royal Challengers Bengaluru,7,JG Bethell,23.0
34,2026-04-24,Royal Challengers Bengaluru,7,JM Sharma,17.0
34,2026-04-24,Royal Challengers Bengaluru,7,JR Hazlewood,43.0
34,2026-04-24,Royal Challengers Bengaluru,7,KH Pandya,32.0
34,2026-04-24,Royal Challengers Bengaluru,7,R Shepherd,4.0
34,2026-04-24,Royal Challengers Bengaluru,7,RM Patidar,14.0
34,2026-04-24,Royal Challengers Bengaluru,7,Rasikh Salam,4.0
34,2026-04-24,Royal Challengers Bengaluru,7,Suyash Sharma,29.0
34,2026-04-24,Royal Challengers Bengaluru,7,TH David,16.0
34,2026-04-24,Royal Challengers Bengaluru,7,V Kohli,115.0
