owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,6,before,53.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,6,before,27.0
Nishant,Nehal Wadhera,N Wadhera,Punjab Kings,6,before,20.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,6,before,17.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,6,before,29.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,6,before,55.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,6,before,66.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,6,before,73.0
Sailesh,Avesh Khan,Avesh Khan,Lucknow Super Giants,6,before,-2.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,6,before,54.0
Sailesh,Nicholas Pooran,N Pooran,Lucknow Super Giants,6,before,34.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,6,before,31.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,6,before,133.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,6,before,73.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,6,before,10.0
