owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Kartik Sharma,Kartik Sharma,Chennai Super Kings,7,before,26.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,7,before,44.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,7,before,165.0
Nishant,Sherfane Rutherford,SE Rutherford,Mumbai Indians,7,before,2.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,7,before,9.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,7,before,58.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,7,before,35.0
Prabhanjan,Mitchell Santner,MJ Santner,Mumbai Indians,7,before,43.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,7,before,10.0
Prabhanjan,Quinton de Kock,Q de Kock,Mumbai Indians,7,before,11.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,7,before,-1.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,7,before,39.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,7,before,49.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,7,before,58.0
