owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Rohit Sharma,RG Sharma,Mumbai Indians,10,after,122.0
Om,Will Jacks,WG Jacks,Mumbai Indians,10,after,35.0
Prabhanjan,Josh Inglis,JP Inglis,Lucknow Super Giants,9,after,28.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,10,after,46.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,9,after,26.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,9,after,50.0
Sailesh,Avesh Khan,Avesh Khan,Lucknow Super Giants,9,after,-2.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,9,after,31.0
Vamsi,Allah Ghazanfar,AM Ghazanfar,Mumbai Indians,10,after,23.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,10,after,0.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,9,after,68.0
Vamsi,Mohsin Khan,Mohsin Khan,Lucknow Super Giants,9,after,25.0
Vamsi,Prince Yadav,Prince Yadav,Lucknow Super Giants,9,after,4.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,10,after,26.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,10,after,15.0
