owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,9,after,29.0
Bhuvan,Harsh Dubey,Harsh Dubey,Sunrisers Hyderabad,9,after,6.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,9,after,52.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,9,after,114.0
Om,Will Jacks,WG Jacks,Mumbai Indians,8,after,79.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,8,after,29.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,9,after,47.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,9,after,77.0
Vaibhav,Ashwani Kumar,Ashwani Kumar,Mumbai Indians,8,after,-2.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,8,after,74.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,9,after,114.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,9,after,10.0
Vamsi,Allah Ghazanfar,AM Ghazanfar,Mumbai Indians,8,after,56.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,8,after,-2.0
Vamsi,Pat Cummins,PJ Cummins,Sunrisers Hyderabad,9,after,4.0
Vamsi,Sakib Hussain,Sakib Hussain,Sunrisers Hyderabad,9,after,23.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,8,after,18.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,8,after,13.0
