owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Anshul Kamboj,A Kamboj,Chennai Super Kings,13,after,25.0
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,13,after,47.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,13,after,16.0
Bhuvan,Shivang Kumar,Shivang Kumar,Sunrisers Hyderabad,13,after,6.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,13,after,11.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,13,after,66.0
Nishant,Mukul Choudhary,Mukesh Choudhary,Chennai Super Kings,13,after,62.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,13,after,56.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,13,after,35.0
Om,Akeal Hosein,AJ Hosein,Chennai Super Kings,13,after,34.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,13,after,27.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,13,after,19.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,13,after,18.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,13,after,35.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,13,after,71.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,13,after,105.0
Vamsi,Pat Cummins,PJ Cummins,Sunrisers Hyderabad,13,after,85.0
Vamsi,Sakib Hussain,Sakib Hussain,Sunrisers Hyderabad,13,after,70.0
