owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,9,after,30.0
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,8,after,96.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,9,after,4.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,8,after,23.0
Nishant,Brijesh Sharma,Brijesh Sharma,Rajasthan Royals,9,after,2.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,9,after,31.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,8,after,49.0
Om,Riyan Parag,R Parag,Rajasthan Royals,9,after,53.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,9,after,78.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,8,after,83.0
Prabhanjan,Cooper Connolly,C Connolly,Punjab Kings,8,after,52.0
Prabhanjan,Donovan Ferreira,D Ferreira,Rajasthan Royals,9,after,90.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,8,after,6.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,8,after,46.0
Vaibhav,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,9,after,70.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,9,after,27.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,8,after,81.0
