match_number,match_date,team_name,team_game_number,player_name,points
28,2026-04-19,Kolkata Knight Riders,7,A Raghuvanshi,19.0
28,2026-04-19,Kolkata Knight Riders,7,AM Rahane,10.0
28,2026-04-19,Kolkata Knight Riders,7,AS Roy,44.0
28,2026-04-19,Kolkata Knight Riders,7,C Green,45.0
28,2026-04-19,Kolkata Knight Riders,7,CV Varun,97.0
28,2026-04-19,Kolkata Knight Riders,7,Kartik Tyagi,87.0
28,2026-04-19,Kolkata Knight Riders,7,R Powell,31.0
28,2026-04-19,Kolkata Knight Riders,7,RK Singh,78.0
28,2026-04-19,Kolkata Knight Riders,7,Ramandeep Singh,17.0
28,2026-04-19,Kolkata Knight Riders,7,SP Narine,64.0
28,2026-04-19,Kolkata Knight Riders,7,TL Seifert,28.0
28,2026-04-19,Kolkata Knight Riders,7,VG Arora,10.0
28,2026-04-19,Rajasthan Royals,6,Brijesh Sharma,5.0
28,2026-04-19,Rajasthan Royals,6,D Ferreira,21.0
28,2026-04-19,Rajasthan Royals,6,Dhruv Jurel,29.0
28,2026-04-19,Rajasthan Royals,6,JC Archer,46.0
28,2026-04-19,Rajasthan Royals,6,N Burger,27.0
28,2026-04-19,Rajasthan Royals,6,R Parag,17.0
28,2026-04-19,Rajasthan Royals,6,RA Jadeja,78.0
28,2026-04-19,Rajasthan Royals,6,Ravi Bishnoi,25.0
28,2026-04-19,Rajasthan Royals,6,SO Hetmyer,19.0
28,2026-04-19,Rajasthan Royals,6,V Suryavanshi,68.0
28,2026-04-19,Rajasthan Royals,6,YBK Jaiswal,57.0
28,2026-04-19,Rajasthan Royals,6,Yash Raj Punja,39.0
