owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,7,before,30.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,7,before,82.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,7,before,56.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,7,before,14.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,7,before,36.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,7,before,16.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,7,before,18.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,7,before,2.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,7,before,2.0
Sailesh,Nicholas Pooran,N Pooran,Lucknow Super Giants,7,before,37.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,7,before,62.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,7,before,37.0
Vaibhav,Riyan Parag,R Parag,Rajasthan Royals,7,before,44.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,7,before,109.0
Vamsi,Mangesh Yadav,MP Yadav,Lucknow Super Giants,7,before,4.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,7,before,79.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,7,before,30.0
