match_number,match_date,team_name,team_game_number,player_name,points
61,2026-05-17,Punjab Kings,13,Arshdeep Singh,27.0
61,2026-05-17,Punjab Kings,13,Azmatullah Omarzai,23.0
61,2026-05-17,Punjab Kings,13,C Connolly,58.0
61,2026-05-17,Punjab Kings,13,Harpreet Brar,76.0
61,2026-05-17,Punjab Kings,13,LH Ferguson,-2.0
61,2026-05-17,Punjab Kings,13,MP Stoinis,52.0
61,2026-05-17,Punjab Kings,13,P Simran Singh,6.0
61,2026-05-17,Punjab Kings,13,Priyansh Arya,10.0
61,2026-05-17,Punjab Kings,13,SS Iyer,13.0
61,2026-05-17,Punjab Kings,13,Shashank Singh,84.0
61,2026-05-17,Punjab Kings,13,Suryansh Shedge,53.0
61,2026-05-17,Punjab Kings,13,YS Chahal,23.0
61,2026-05-17,Royal Challengers Bengaluru,13,B Kumar,54.0
61,2026-05-17,Royal Challengers Bengaluru,13,D Padikkal,77.0
61,2026-05-17,Royal Challengers Bengaluru,13,JG Bethell,25.0
61,2026-05-17,Royal Challengers Bengaluru,13,JM Sharma,12.0
61,2026-05-17,Royal Challengers Bengaluru,13,JR Hazlewood,37.0
61,2026-05-17,Royal Challengers Bengaluru,13,KH Pandya,4.0
61,2026-05-17,Royal Challengers Bengaluru,13,R Shepherd,37.0
61,2026-05-17,Royal Challengers Bengaluru,13,Rasikh Salam,83.0
61,2026-05-17,Royal Challengers Bengaluru,13,Suyash Sharma,23.0
61,2026-05-17,Royal Challengers Bengaluru,13,TH David,52.0
61,2026-05-17,Royal Challengers Bengaluru,13,V Kohli,100.0
61,2026-05-17,Royal Challengers Bengaluru,13,VR Iyer,107.0
