owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,9,after,80.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,9,after,59.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,9,after,34.0
Nishant,Vyshak Vijaykumar,Vijaykumar Vyshak,Punjab Kings,9,after,63.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,10,after,69.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,10,after,63.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,10,after,56.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,9,after,4.0
Prabhanjan,Cooper Connolly,C Connolly,Punjab Kings,9,after,18.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,9,after,58.0
Prabhanjan,Rashid Khan,Rashid Khan,Gujarat Titans,10,after,29.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,10,after,78.0
Prabhanjan,Xavier Bartlett,XC Bartlett,Punjab Kings,9,after,18.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,10,after,70.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,9,after,6.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,10,after,18.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,10,after,137.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,9,after,21.0
