owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,6,before,29.0
Bhuvan,Ravindra Jadeja,RA Jadeja,Rajasthan Royals,6,before,78.0
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,7,before,64.0
Nishant,Nandre Burger,N Burger,Rajasthan Royals,6,before,27.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,7,before,78.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,7,before,19.0
Om,Cameron Green,C Green,Kolkata Knight Riders,7,before,45.0
Om,Vaibhav Sooryavanshi,V Suryavanshi,Rajasthan Royals,6,before,68.0
Om,Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,6,before,57.0
Sailesh,Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,7,before,97.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,7,before,10.0
Vaibhav,Ravi Bishnoi,Ravi Bishnoi,Rajasthan Royals,6,before,25.0
Vaibhav,Riyan Parag,R Parag,Rajasthan Royals,6,before,17.0
Vamsi,Jofra Archer,JC Archer,Rajasthan Royals,6,before,46.0
Vamsi,Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,6,before,19.0
