owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,13,after,52.0
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,13,after,100.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,13,after,27.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,13,after,12.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,13,after,13.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,13,after,54.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,13,after,37.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,13,after,23.0
Prabhanjan,Cooper Connolly,C Connolly,Punjab Kings,13,after,58.0
Prabhanjan,Shashank Singh,Shashank Singh,Punjab Kings,13,after,84.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,13,after,4.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,13,after,52.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,13,after,77.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,13,after,10.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,13,after,23.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,13,after,6.0
