match_number,match_date,team_name,team_game_number,player_name,points
18,2026-04-11,Chennai Super Kings,4,A Kamboj,91.0
18,2026-04-11,Chennai Super Kings,4,A Mhatre,86.0
18,2026-04-11,Chennai Super Kings,4,AJ Hosein,10.0
18,2026-04-11,Chennai Super Kings,4,D Brevis,32.0
18,2026-04-11,Chennai Super Kings,4,Gurjapneet Singh,37.0
18,2026-04-11,Chennai Super Kings,4,J Overton,134.0
18,2026-04-11,Chennai Super Kings,4,KK Ahmed,23.0
18,2026-04-11,Chennai Super Kings,4,Noor Ahmad,33.0
18,2026-04-11,Chennai Super Kings,4,RD Gaikwad,20.0
18,2026-04-11,Chennai Super Kings,4,S Dube,34.0
18,2026-04-11,Chennai Super Kings,4,SN Khan,12.0
18,2026-04-11,Chennai Super Kings,4,SV Samson,164.0
18,2026-04-11,Delhi Capitals,4,AR Patel,30.0
18,2026-04-11,Delhi Capitals,4,Ashutosh Sharma,34.0
18,2026-04-11,Delhi Capitals,4,Auqib Nabi,9.0
18,2026-04-11,Delhi Capitals,4,DA Miller,24.0
18,2026-04-11,Delhi Capitals,4,KL Rahul,32.0
18,2026-04-11,Delhi Capitals,4,Kuldeep Yadav,4.0
18,2026-04-11,Delhi Capitals,4,L Ngidi,5.0
18,2026-04-11,Delhi Capitals,4,Mukesh Kumar,4.0
18,2026-04-11,Delhi Capitals,4,P Nissanka,72.0
18,2026-04-11,Delhi Capitals,4,Sameer Rizvi,11.0
18,2026-04-11,Delhi Capitals,4,T Natarajan,-1.0
18,2026-04-11,Delhi Capitals,4,T Stubbs,86.0
