owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,7,before,120.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,7,before,4.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,7,before,53.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,6,before,-2.0
Prabhanjan,Aniket Verma,Aniket Verma,Sunrisers Hyderabad,7,before,12.0
Prabhanjan,Ashutosh Sharma,Ashutosh Sharma,Delhi Capitals,6,before,22.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,6,before,27.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,6,before,0.0
Prabhanjan,Nitish Kumar Reddy,Nithish Kumar Reddy,Sunrisers Hyderabad,7,before,6.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,6,before,14.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,7,before,207.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,6,before,-1.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,6,before,2.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,7,before,60.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,7,before,39.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,6,before,40.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,6,before,56.0
