owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Eshan Malinga,E Malinga,Sunrisers Hyderabad,10,after,8.0
Bhuvan,Kartik Tyagi,Kartik Tyagi,Kolkata Knight Riders,9,after,54.0
Bhuvan,Salil Arora,S Arora,Sunrisers Hyderabad,10,after,6.0
Bhuvan,Shivang Kumar,Shivang Kumar,Sunrisers Hyderabad,10,after,30.0
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,9,after,62.0
Bhuvan,Travis Head,TM Head,Sunrisers Hyderabad,10,after,94.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,9,after,36.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,9,after,88.0
Om,Cameron Green,C Green,Kolkata Knight Riders,9,after,44.0
Sailesh,Abhishek Sharma,Abhishek Sharma,Sunrisers Hyderabad,10,after,28.0
Sailesh,Vaibhav Arora,VG Arora,Kolkata Knight Riders,9,after,37.0
Sailesh,Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,9,after,83.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,9,after,73.0
Vaibhav,Heinrich Klaasen,H Klaasen,Sunrisers Hyderabad,10,after,26.0
Vaibhav,Ishan Kishan,Ishan Kishan,Sunrisers Hyderabad,10,after,60.0
Vamsi,Pat Cummins,PJ Cummins,Sunrisers Hyderabad,10,after,37.0
Vamsi,Sakib Hussain,Sakib Hussain,Sunrisers Hyderabad,10,after,33.0
