owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,9,after,53.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,9,after,13.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,9,after,18.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,9,after,110.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,9,after,77.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,9,after,4.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,9,after,29.0
Om,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,9,after,27.0
Prabhanjan,Rashid Khan,Rashid Khan,Gujarat Titans,9,after,92.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,9,after,27.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,9,after,27.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,9,after,9.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,9,after,15.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,9,after,69.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,9,after,73.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,9,after,25.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,9,after,96.0
