match_number,match_date,team_name,team_game_number,player_name,points
52,2026-05-09,Gujarat Titans,11,Arshad Khan,12.0
52,2026-05-09,Gujarat Titans,11,B Sai Sudharsan,81.0
52,2026-05-09,Gujarat Titans,11,JC Buttler,30.0
52,2026-05-09,Gujarat Titans,11,JO Holder,105.0
52,2026-05-09,Gujarat Titans,11,K Rabada,52.0
52,2026-05-09,Gujarat Titans,11,Mohammed Siraj,23.0
52,2026-05-09,Gujarat Titans,11,N Sindhu,12.0
52,2026-05-09,Gujarat Titans,11,R Sai Kishore,4.0
52,2026-05-09,Gujarat Titans,11,R Tewatia,22.0
52,2026-05-09,Gujarat Titans,11,Rashid Khan,144.0
52,2026-05-09,Gujarat Titans,11,Shubman Gill,125.0
52,2026-05-09,Gujarat Titans,11,Washington Sundar,73.0
52,2026-05-09,Rajasthan Royals,11,Brijesh Sharma,51.0
52,2026-05-09,Rajasthan Royals,11,D Ferreira,17.0
52,2026-05-09,Rajasthan Royals,11,Dhruv Jurel,41.0
52,2026-05-09,Rajasthan Royals,11,JC Archer,12.0
52,2026-05-09,Rajasthan Royals,11,MD Shanaka,24.0
52,2026-05-09,Rajasthan Royals,11,RA Jadeja,82.0
52,2026-05-09,Rajasthan Royals,11,SB Dubey,22.0
52,2026-05-09,Rajasthan Royals,11,SO Hetmyer,11.0
52,2026-05-09,Rajasthan Royals,11,TU Deshpande,7.0
52,2026-05-09,Rajasthan Royals,11,V Suryavanshi,59.0
52,2026-05-09,Rajasthan Royals,11,YBK Jaiswal,15.0
52,2026-05-09,Rajasthan Royals,11,Yash Raj Punja,29.0
