owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Virat Kohli,V Kohli,Royal Challengers Bengaluru,6,before,36.0
Nishant,Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,6,before,25.0
Nishant,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,5,before,29.0
Nishant,Romario Shepherd,R Shepherd,Royal Challengers Bengaluru,6,before,5.0
Om,Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,6,before,96.0
Om,Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,6,before,4.0
Prabhanjan,Axar Patel,AR Patel,Delhi Capitals,5,before,89.0
Prabhanjan,Lungi Ngidi,L Ngidi,Delhi Capitals,5,before,60.0
Prabhanjan,Pathum Nissanka,P Nissanka,Delhi Capitals,5,before,13.0
Sailesh,Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,6,before,47.0
Sailesh,Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,5,before,62.0
Sailesh,Tim David,TH David,Royal Challengers Bengaluru,6,before,39.0
Vaibhav,David Miller,DA Miller,Delhi Capitals,5,before,53.0
Vaibhav,Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,6,before,27.0
Vaibhav,Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,6,before,14.0
Vaibhav,Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,6,before,2.0
Vaibhav,Tristan Stubbs,T Stubbs,Delhi Capitals,5,before,86.0
Vamsi,KL Rahul,KL Rahul,Delhi Capitals,5,before,97.0
Vamsi,Phil Salt,PD Salt,Royal Challengers Bengaluru,6,before,97.0
