match_number,match_date,team_name,team_game_number,player_name,points
27,2026-04-18,Chennai Super Kings,6,A Kamboj,106.0
27,2026-04-18,Chennai Super Kings,6,A Mhatre,51.0
27,2026-04-18,Chennai Super Kings,6,D Brevis,18.0
27,2026-04-18,Chennai Super Kings,6,Gurjapneet Singh,37.0
27,2026-04-18,Chennai Super Kings,6,J Overton,100.0
27,2026-04-18,Chennai Super Kings,6,MW Short,47.0
27,2026-04-18,Chennai Super Kings,6,Mukesh Choudhary,52.0
27,2026-04-18,Chennai Super Kings,6,Noor Ahmad,13.0
27,2026-04-18,Chennai Super Kings,6,RD Gaikwad,44.0
27,2026-04-18,Chennai Super Kings,6,S Dube,30.0
27,2026-04-18,Chennai Super Kings,6,SN Khan,34.0
27,2026-04-18,Chennai Super Kings,6,SV Samson,21.0
27,2026-04-18,Sunrisers Hyderabad,6,Abhishek Sharma,91.0
27,2026-04-18,Sunrisers Hyderabad,6,Aniket Verma,14.0
27,2026-04-18,Sunrisers Hyderabad,6,E Malinga,83.0
27,2026-04-18,Sunrisers Hyderabad,6,H Klaasen,101.0
27,2026-04-18,Sunrisers Hyderabad,6,Ishan Kishan,2.0
27,2026-04-18,Sunrisers Hyderabad,6,LS Livingstone,21.0
27,2026-04-18,Sunrisers Hyderabad,6,Nithish Kumar Reddy,76.0
27,2026-04-18,Sunrisers Hyderabad,6,PP Hinge,23.0
27,2026-04-18,Sunrisers Hyderabad,6,S Arora,27.0
27,2026-04-18,Sunrisers Hyderabad,6,Sakib Hussain,37.0
27,2026-04-18,Sunrisers Hyderabad,6,Shivang Kumar,48.0
27,2026-04-18,Sunrisers Hyderabad,6,TM Head,32.0
