match_number,match_date,team_name,team_game_number,player_name,points
44,2026-05-02,Chennai Super Kings,9,A Kamboj,91.0
44,2026-05-02,Chennai Super Kings,9,D Brevis,20.0
44,2026-05-02,Chennai Super Kings,9,J Overton,33.0
44,2026-05-02,Chennai Super Kings,9,Kartik Sharma,78.0
44,2026-05-02,Chennai Super Kings,9,Mukesh Choudhary,4.0
44,2026-05-02,Chennai Super Kings,9,Noor Ahmad,56.0
44,2026-05-02,Chennai Super Kings,9,PR Veer,-2.0
44,2026-05-02,Chennai Super Kings,9,RD Gaikwad,98.0
44,2026-05-02,Chennai Super Kings,9,RS Ghosh,37.0
44,2026-05-02,Chennai Super Kings,9,S Dube,4.0
44,2026-05-02,Chennai Super Kings,9,SN Khan,8.0
44,2026-05-02,Chennai Super Kings,9,SV Samson,17.0
44,2026-05-02,Chennai Super Kings,9,Urvil Patel,48.0
44,2026-05-02,Mumbai Indians,9,AM Ghazanfar,35.0
44,2026-05-02,Mumbai Indians,9,HH Pandya,24.0
44,2026-05-02,Mumbai Indians,9,JJ Bumrah,31.0
44,2026-05-02,Mumbai Indians,9,Krish Bhagat,5.0
44,2026-05-02,Mumbai Indians,9,Naman Dhir,83.0
44,2026-05-02,Mumbai Indians,9,R Minz,10.0
44,2026-05-02,Mumbai Indians,9,RD Rickelton,67.0
44,2026-05-02,Mumbai Indians,9,Raghu Sharma,8.0
44,2026-05-02,Mumbai Indians,9,SA Yadav,36.0
44,2026-05-02,Mumbai Indians,9,TA Boult,9.0
44,2026-05-02,Mumbai Indians,9,Tilak Varma,9.0
44,2026-05-02,Mumbai Indians,9,WG Jacks,5.0
