match_number,match_date,team_name,team_game_number,player_name,points
50,2026-05-07,Lucknow Super Giants,10,AA Kulkarni,22.0
50,2026-05-07,Lucknow Super Giants,10,AK Markram,13.0
50,2026-05-07,Lucknow Super Giants,10,Akshat Raghuwanshi,4.0
50,2026-05-07,Lucknow Super Giants,10,DS Rathi,6.0
50,2026-05-07,Lucknow Super Giants,10,Himmat Singh,4.0
50,2026-05-07,Lucknow Super Giants,10,MP Yadav,-2.0
50,2026-05-07,Lucknow Super Giants,10,MR Marsh,164.0
50,2026-05-07,Lucknow Super Giants,10,Mohammed Shami,29.0
50,2026-05-07,Lucknow Super Giants,10,N Pooran,56.0
50,2026-05-07,Lucknow Super Giants,10,Prince Yadav,107.0
50,2026-05-07,Lucknow Super Giants,10,RR Pant,62.0
50,2026-05-07,Lucknow Super Giants,10,Shahbaz Ahmed,52.0
50,2026-05-07,Royal Challengers Bengaluru,10,B Kumar,4.0
50,2026-05-07,Royal Challengers Bengaluru,10,D Padikkal,49.0
50,2026-05-07,Royal Challengers Bengaluru,10,JG Bethell,17.0
50,2026-05-07,Royal Challengers Bengaluru,10,JM Sharma,5.0
50,2026-05-07,Royal Challengers Bengaluru,10,JR Hazlewood,23.0
50,2026-05-07,Royal Challengers Bengaluru,10,KH Pandya,77.0
50,2026-05-07,Royal Challengers Bengaluru,10,R Shepherd,36.0
50,2026-05-07,Royal Challengers Bengaluru,10,RM Patidar,102.0
50,2026-05-07,Royal Challengers Bengaluru,10,Rasikh Salam,23.0
50,2026-05-07,Royal Challengers Bengaluru,10,Suyash Sharma,2.0
50,2026-05-07,Royal Challengers Bengaluru,10,TH David,64.0
50,2026-05-07,Royal Challengers Bengaluru,10,V Kohli,2.0
