owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Anshul Kamboj,A Kamboj,Chennai Super Kings,8,after,8.0
Nishant,Dewald Brevis,D Brevis,Chennai Super Kings,8,after,14.0
Nishant,Sanju Samson,SV Samson,Chennai Super Kings,8,after,29.0
Nishant,Shivam Dube,S Dube,Chennai Super Kings,8,after,31.0
Nishant,Washington Sundar,Washington Sundar,Gujarat Titans,8,after,5.0
Om,Akeal Hosein,AJ Hosein,Chennai Super Kings,8,after,23.0
Om,Jos Buttler,JC Buttler,Gujarat Titans,8,after,71.0
Om,Mohammed Siraj,Mohammed Siraj,Gujarat Titans,8,after,33.0
Om,Noor Ahmad,Noor Ahmad,Chennai Super Kings,8,after,29.0
Om,Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,8,after,100.0
Prabhanjan,Rashid Khan,Rashid Khan,Gujarat Titans,8,after,4.0
Prabhanjan,Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,8,after,123.0
Sailesh,Jamie Overton,J Overton,Chennai Super Kings,8,after,21.0
Sailesh,Kagiso Rabada,K Rabada,Gujarat Titans,8,after,85.0
Sailesh,Sarfaraz Khan,SN Khan,Chennai Super Kings,8,after,2.0
Vaibhav,Shubman Gill,Shubman Gill,Gujarat Titans,8,after,58.0
Vamsi,Jason Holder,JO Holder,Gujarat Titans,8,after,24.0
