owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Sunil Narine,SP Narine,Kolkata Knight Riders,4,before,35.0
Nishant,Rinku Singh,RK Singh,Kolkata Knight Riders,4,before,16.0
Om,Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,4,before,72.0
Om,Cameron Green,C Green,Kolkata Knight Riders,4,before,66.0
Prabhanjan,Digvesh Rathi,DS Rathi,Lucknow Super Giants,3,before,39.0
Prabhanjan,Rishabh Pant,RR Pant,Lucknow Super Giants,3,before,15.0
Sailesh,Aiden Markram,AK Markram,Lucknow Super Giants,3,before,40.0
Sailesh,Avesh Khan,Avesh Khan,Lucknow Super Giants,3,before,36.0
Sailesh,Ayush Badoni,A Badoni,Lucknow Super Giants,3,before,81.0
Sailesh,Nicholas Pooran,N Pooran,Lucknow Super Giants,3,before,19.0
Vaibhav,Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,4,before,63.0
Vaibhav,Mohammed Shami,Mohammed Shami,Lucknow Super Giants,3,before,15.0
Vamsi,Finn Allen,FH Allen,Kolkata Knight Riders,4,before,15.0
Vamsi,Mitchell Marsh,MR Marsh,Lucknow Super Giants,3,before,24.0
