owner_name,player_name,cricsheet_player_name,team_name,team_game_number,phase,points
Bhuvan,Marcus Stoinis,MP Stoinis,Punjab Kings,5,before,16.0
Nishant,Arshdeep Singh,Arshdeep Singh,Punjab Kings,5,before,95.0
Nishant,Sherfane Rutherford,SE Rutherford,Mumbai Indians,5,before,5.0
Nishant,Shreyas Iyer,SS Iyer,Punjab Kings,5,before,97.0
Om,Yuzvendra Chahal,YS Chahal,Punjab Kings,5,before,6.0
Prabhanjan,Marco Jansen,M Jansen,Punjab Kings,5,before,29.0
Prabhanjan,Naman Dhir,Naman Dhir,Mumbai Indians,5,before,83.0
Prabhanjan,Quinton de Kock,Q de Kock,Mumbai Indians,5,before,168.0
Vaibhav,Hardik Pandya,HH Pandya,Mumbai Indians,5,before,14.0
Vaibhav,Priyansh Arya,Priyansh Arya,Punjab Kings,5,before,23.0
Vamsi,Jasprit Bumrah,JJ Bumrah,Mumbai Indians,5,before,2.0
Vamsi,Prabhsimran Singh,P Simran Singh,Punjab Kings,5,before,113.0
Vamsi,Surya Kumar Yadav,SA Yadav,Mumbai Indians,5,before,2.0
Vamsi,Tilak Varma,Tilak Varma,Mumbai Indians,5,before,14.0
